Doc,Topic,Score,Title
Doc37,Topic10,0.076,THE WHITE SNAKE
Doc37,Topic1,0.254,THE WHITE SNAKE
Doc37,Topic3,0.061,THE WHITE SNAKE
Doc37,Topic2,0.138,THE WHITE SNAKE
Doc37,Topic5,0.072,THE WHITE SNAKE
Doc37,Topic4,0.086,THE WHITE SNAKE
Doc37,Topic7,0.076,THE WHITE SNAKE
Doc37,Topic9,0.113,THE WHITE SNAKE
Doc37,Topic8,0.079,THE WHITE SNAKE
Doc38,Topic9,0.220,THE WOLF AND THE SEVEN LITTLE KIDS
Doc38,Topic10,0.057,THE WOLF AND THE SEVEN LITTLE KIDS
Doc38,Topic3,0.076,THE WOLF AND THE SEVEN LITTLE KIDS
Doc38,Topic5,0.401,THE WOLF AND THE SEVEN LITTLE KIDS
Doc38,Topic7,0.095,THE WOLF AND THE SEVEN LITTLE KIDS
Doc39,Topic10,0.065,THE QUEEN BEE
Doc39,Topic1,0.218,THE QUEEN BEE
Doc39,Topic2,0.264,THE QUEEN BEE
Doc39,Topic5,0.084,THE QUEEN BEE
Doc39,Topic4,0.069,THE QUEEN BEE
Doc39,Topic7,0.080,THE QUEEN BEE
Doc39,Topic6,0.077,THE QUEEN BEE
Doc39,Topic9,0.069,THE QUEEN BEE
Doc39,Topic8,0.054,THE QUEEN BEE
Doc40,Topic10,0.065,THE ELVES AND THE SHOEMAKER
Doc40,Topic1,0.078,THE ELVES AND THE SHOEMAKER
Doc40,Topic3,0.121,THE ELVES AND THE SHOEMAKER
Doc40,Topic5,0.195,THE ELVES AND THE SHOEMAKER
Doc40,Topic4,0.290,THE ELVES AND THE SHOEMAKER
Doc40,Topic6,0.095,THE ELVES AND THE SHOEMAKER
Doc41,Topic9,0.231,THE JUNIPER-TREE
Doc41,Topic1,0.062,THE JUNIPER-TREE
Doc41,Topic3,0.058,THE JUNIPER-TREE
Doc41,Topic5,0.510,THE JUNIPER-TREE
Doc42,Topic10,0.077,THE TURNIP
Doc42,Topic1,0.054,THE TURNIP
Doc42,Topic3,0.082,THE TURNIP
Doc42,Topic2,0.111,THE TURNIP
Doc42,Topic5,0.051,THE TURNIP
Doc42,Topic4,0.087,THE TURNIP
